date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:55	159520/159520	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2005:35:55%20GMT	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/	/Users/melvinyeo/websites/Pest%2003/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/index.html	(from )
13:35:56	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226077c38e-47e%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/favicon-1252.ico?_build=1618461582	/Users/melvinyeo/websites/Pest%2003/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/favicon-12523a13.ico	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:35:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2015%20Apr%202021%2005:35:58%20GMT	http://www.googletagmanager.com/gtm.js?id=	/Users/melvinyeo/websites/Pest%2003/www.googletagmanager.com/gtm.35445.delayed	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:35:59	190554/190554	---MCZ	200	added ('OK')	text/css	etag:W/%226077d084-2e85a%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/assets/styles.css?_build=1618464900	/Users/melvinyeo/websites/Pest%2003/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/assets/styles00b6.css	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:35:59	215552/215552	---MCZ	200	added ('OK')	text/css	etag:W/%22603cf54c-34a00%22	https://static-demo.try-builder.com/moto3/engine/350/src/mt-includes/css/assets.min.css?_build=1614607692	/Users/melvinyeo/websites/Pest%2003/static-demo.try-builder.com/moto3/engine/350/src/mt-includes/css/assets.min7f13.css	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:35:59	136917/136917	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-216d5%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-header-bg.jpg	/Users/melvinyeo/websites/Pest%2003/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-header-bg.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:36:01	56857/56857	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-de19%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img01-bg.jpg	/Users/melvinyeo/websites/Pest%2003/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img01-bg.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:36:01	42069/42069	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2005:36:01%20GMT	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/more/	/Users/melvinyeo/websites/Pest%2003/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/more/index.html	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:36:02	16902/16902	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-4206%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img01.jpg	/Users/melvinyeo/websites/Pest%2003/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img01.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:36:04	76003/76003	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-128e3%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img02-bg.jpg	/Users/melvinyeo/websites/Pest%2003/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img02-bg.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:36:04	17867/17867	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-45cb%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img02.jpg	/Users/melvinyeo/websites/Pest%2003/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img02.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
